steps,time,reward,delta,converged
1,0.0006659999999989452,51.60000000000002,100.6,False
2,0.0006249999999994316,327.96,60.0,False
3,0.0006009999999996296,624.6720000000001,36.0,False
4,0.0005939999999995393,881.2367999999999,21.6,False
5,0.0005950000000005673,1074.4444799999994,12.960000000000008,False
6,0.0005939999999995393,1213.9303679999998,7.7760000000000105,False
7,0.0005640000000006751,1307.77611264,4.665600000000012,False
8,0.00055799999999806,1371.2667171839998,2.799360000000007,False
9,0.000565000000001703,1413.1032643583999,1.67961600000001,False
10,0.0005730000000028213,1440.4343790182395,1.0077696000000067,False
11,0.0006680000000010011,1458.1705596272636,0.6046617600000026,False
12,0.00058299999999889,1469.7024558730436,0.3627970560000051,False
13,0.0012779999999992242,1476.6366395400187,0.2176782336000045,False
14,0.0011919999999996378,1480.797149740204,0.13060694016000696,False
15,0.000588000000000477,1483.2934558603145,0.07836416409600133,False
16,0.000588000000000477,1484.791239532381,0.04701849845761785,False
17,0.000581999999997862,1485.6899097356213,0.02821109907456787,False
18,0.000581999999997862,1486.229111857565,0.016926659444749248,False
19,0.000581999999997862,1486.5526331307315,0.010155995666849549,False
20,0.0005919999999974834,1486.746745894632,0.006093597400109729,False
21,0.0005740000000002965,1486.8632135529713,0.0036561584400658376,False
22,0.0007199999999976114,1486.9330941479755,0.002193695064043766,False
23,0.0005799999999993588,1486.9750225049775,0.001316217038425549,False
24,0.0005769999999998277,1487.0001795191793,0.0007897302230617242,False
25,0.0005759999999987997,1487.0152737276999,0.0004738381338427189,False
26,0.0005860000000019738,1487.0243302528124,0.0002843028803098946,False
27,0.0007579999999975939,1487.0297641678799,0.00017058172818806838,False
28,0.0005790000000018836,1487.0330245169202,0.00010234903692207808,False
29,0.0005769999999998277,1487.034980726345,6.140942215893119e-05,False
30,0.0005780000000008556,1487.0361544519997,3.684565329820089e-05,False
31,0.0005790000000018836,1487.0368586873924,2.2107391977499447e-05,False
32,0.0005769999999998277,1487.0372812286278,1.3264435185789125e-05,False
33,0.0005680000000012342,1487.0375347533686,7.958661115026189e-06,True
